synthetic_student_id,registry_year,enrollment_date,course,age,age_range,student_nationality_group,guardian_nationality_group,guardian_occupation_group,origin_group,repeat_flag,approx_distance_km,synthetic_spatial_zone
SYN-1910-0001,1910,1910-02-15,1º Año,17,16_17,argentino,italiano,empleado,capital,True,1.29,zone_018
SYN-1910-0002,1910,1910-02-15,5º Año,23,18_24,argentino,italiano,sin_dato,capital,False,2.58,zone_048
SYN-1910-0003,1910,1910-02-15,6º Año,22,18_24,argentino,sin_dato,sin_dato,provincia_buenos_aires,False,1.28,zone_011
SYN-1910-0004,1910,1910-02-16,3º Año,18,18_24,argentino,argentino,empleado,capital,False,4.78,zone_018
SYN-1910-0005,1910,1910-02-16,1º Año,16,16_17,argentino,argentino,comercio,provincia_buenos_aires,True,2.36,zone_007
SYN-1910-0006,1910,1910-02-16,1º Año,16,16_17,argentino,argentino,educacion,capital,False,1.77,zone_003
SYN-1910-0007,1910,1910-02-16,4º Año,18,18_24,argentino,argentino,comercio,capital,False,3.4,zone_077
SYN-1910-0008,1910,1910-02-17,3º Año,18,18_24,argentino,argentino,empleado,otra_procedencia,True,11.0,zone_022
SYN-1910-0009,1910,1910-02-17,6º Año,25,25_o_mas,argentino,sin_dato,sin_dato,otra_procedencia,False,1.8,zone_021
SYN-1910-0010,1910,1910-02-18,1º Año,16,16_17,argentino,espanol,empleado,capital,False,1.48,zone_001
SYN-1910-0011,1910,1910-02-18,2º Año,17,16_17,argentino,argentino,comercio,capital,False,2.9,zone_050
SYN-1910-0012,1910,1910-02-21,4º Año,18,18_24,argentino,italiano,comercio,provincia_buenos_aires,False,0.68,zone_006
SYN-1910-0013,1910,1910-02-23,1º Año,16,16_17,espanol,espanol,comercio,capital,False,4.71,zone_003
SYN-1910-0014,1910,1910-02-23,6º Año,21,18_24,argentino,argentino,otras_ocupaciones,otra_procedencia,False,2.12,zone_071
SYN-1910-0015,1910,1910-02-26,1º Año,17,16_17,argentino,italiano,comercio,capital,True,4.14,zone_047
SYN-1910-0016,1910,1910-02-26,2º Año,17,16_17,argentino,argentino,otras_ocupaciones,capital,False,3.95,zone_013
SYN-1910-0017,1910,1910-02-26,2º Año,18,18_24,argentino,italiano,comercio,capital,False,1.49,zone_009
SYN-1910-0018,1910,1910-02-26,4º Año,18,18_24,argentino,espanol,otras_ocupaciones,capital,False,0.99,zone_027
SYN-1910-0019,1910,1910-02-26,2º Año,17,16_17,argentino,argentino,empleado,capital,False,1.72,zone_002
SYN-1910-0020,1910,1910-02-15,4º Año,21,18_24,argentino,italiano,empleado,capital,False,4.07,zone_053
SYN-1910-0021,1910,1910-02-15,6º Año,22,18_24,argentino,sin_dato,otras_ocupaciones,otra_procedencia,False,2.31,zone_007
SYN-1910-0022,1910,1910-02-15,1º Año,16,16_17,argentino,espanol,comercio,capital,False,0.82,zone_005
SYN-1910-0023,1910,1910-05-02,6º Año,23,18_24,argentino,sin_dato,otras_ocupaciones,capital,False,2.5,zone_020
SYN-1910-0024,1910,1910-05-02,3º Año,18,18_24,argentino,italiano,otras_ocupaciones,otra_procedencia,False,8.27,zone_002
SYN-1910-0025,1910,1910-03-19,6º Año,20,18_24,argentino,argentino,otras_ocupaciones,capital,False,0.86,zone_060
SYN-1910-0026,1910,1910-03-29,6º Año,23,18_24,argentino,sin_dato,otras_ocupaciones,otra_procedencia,False,4.64,zone_069
SYN-1910-0027,1910,1910-03-29,2º Año,20,18_24,argentino,italiano,comercio,capital,False,11.0,zone_012
SYN-1910-0028,1910,1910-05-03,6º Año,20,18_24,argentino,argentino,educacion,capital,False,0.49,zone_005
SYN-1910-0029,1910,1910-04-24,5º Año,19,18_24,argentino,sin_dato,otras_ocupaciones,otra_procedencia,False,2.21,zone_039
SYN-1910-0030,1910,1910-06-28,5º Año,20,18_24,argentino,frances,empleado,otra_procedencia,False,1.7,zone_003
SYN-1911-0031,1911,1911-02-15,6º Año,23,18_24,argentino,argentino,empleado,capital,False,4.64,zone_048
SYN-1911-0032,1911,1911-02-16,4º Año,20,18_24,argentino,italiano,empleado,capital,False,1.49,zone_077
SYN-1911-0033,1911,1911-02-16,4º Año,18,18_24,argentino,italiano,empleado,capital,False,3.44,zone_001
SYN-1911-0034,1911,1911-02-16,3º Año,18,18_24,argentino,argentino,empleado,capital,False,0.97,zone_024
SYN-1911-0035,1911,1911-02-16,2º Año,17,16_17,argentino,argentino,otras_ocupaciones,capital,False,0.93,zone_053
SYN-1911-0036,1911,1911-02-16,2º Año,19,18_24,argentino,argentino,empleado,capital,False,3.05,zone_005
SYN-1911-0037,1911,1911-02-16,4º Año,18,18_24,argentino,italiano,rentista_propietario,capital,False,7.87,zone_040
SYN-1911-0038,1911,1911-02-20,3º Año,20,18_24,argentino,italiano,comercio,capital,False,1.82,zone_020
SYN-1911-0039,1911,1911-02-20,5º Año,18,18_24,argentino,argentino,empleado,capital,False,3.17,zone_065
SYN-1911-0040,1911,1911-02-20,4º Año,21,18_24,argentino,espanol,comercio,capital,False,1.29,zone_070
SYN-1911-0041,1911,1911-02-20,2º Año,17,16_17,italiano,italiano,otras_ocupaciones,capital,False,0.9,zone_001
SYN-1911-0042,1911,1911-02-21,2º Año,17,16_17,argentino,argentino,sin_dato,capital,False,5.25,zone_006
SYN-1911-0043,1911,1911-02-22,6º Año,22,18_24,argentino,sin_dato,sin_dato,capital,False,1.08,zone_033
SYN-1911-0044,1911,1911-02-22,4º Año,18,18_24,italiano,italiano,otras_ocupaciones,otra_procedencia,False,2.63,zone_047
SYN-1911-0045,1911,1911-02-28,5º Año,22,18_24,argentino,argentino,sin_dato,capital,False,1.86,zone_072
SYN-1911-0046,1911,1911-03-02,5º Año,22,18_24,argentino,sin_dato,sin_dato,capital,False,3.18,zone_043
SYN-1911-0047,1911,1911-03-02,5º Año,21,18_24,argentino,sin_dato,sin_dato,capital,False,9.11,zone_066
SYN-1911-0048,1911,1911-03-02,5º Año,20,18_24,argentino,espanol,empleado,capital,False,1.16,zone_075
SYN-1911-0049,1911,1911-03-07,6º Año,20,18_24,argentino,argentino,sin_dato,capital,False,2.76,zone_010
SYN-1911-0050,1911,1911-03-06,6º Año,20,18_24,argentino,argentino,religioso,capital,False,1.42,zone_037
SYN-1911-0051,1911,1911-02-15,1º Año,16,16_17,argentino,italiano,salud,capital,False,1.06,zone_001
SYN-1911-0052,1911,1911-02-15,1º Año,17,16_17,argentino,espanol,otras_ocupaciones,capital,False,6.06,zone_013
SYN-1911-0053,1911,1911-02-15,1º Año,17,16_17,argentino,espanol,comercio,capital,False,4.96,zone_070
SYN-1911-0054,1911,1911-02-20,1º Año,19,18_24,argentino,italiano,comercio,capital,False,0.65,zone_045
SYN-1911-0055,1911,1911-02-20,1º Año,19,18_24,argentino,italiano,rentista_propietario,capital,False,3.15,zone_025
SYN-1911-0056,1911,1911-02-21,sin_dato,14,14_15,argentino,otra,otras_ocupaciones,otra_procedencia,False,0.77,zone_019
SYN-1911-0057,1911,1911-02-25,sin_dato,14,14_15,argentino,italiano,comercio,capital,False,9.13,zone_074
SYN-1911-0058,1911,1911-03-01,1º Año,16,16_17,argentino,argentino,comercio,capital,False,1.96,zone_002
SYN-1911-0059,1911,1911-03-03,1º Año,16,16_17,argentino,argentino,empleado,capital,False,4.44,zone_003
SYN-1911-0060,1911,1911-03-27,5º Año,21,18_24,argentino,argentino,empleado,otra_procedencia,False,1.66,zone_019
SYN-1912-0061,1912,1912-02-15,1º Año,17,16_17,ruso,argentino,comercio,sin_dato,False,1.57,zone_065
SYN-1912-0062,1912,1912-02-15,2º Año,23,18_24,argentino,italiano,educacion,sin_dato,False,1.59,zone_032
